日期,代码,名称,买入价,卖出价,收益率%,推荐,评分,异动类型,板块,尾盘分,技术分,资金分,市场分,历史分
20260420,300687,,21.931,21.759,-0.8336,strong_buy,43.05,rally,计算机设备,42.86,88.0,0.0,16.67,10.0
20260420,688657,,50.855,50.485,-0.7789,strong_buy,39.77,breakout,计算机设备,25.71,100.0,0.0,16.67,10.0
20260420,002335,,64.052,63.288,-1.2423,buy,32.21,rally,计算机设备,22.86,76.0,0.0,16.67,10.0
20260420,603267,,53.557,53.113,-0.8778,buy,32.19,breakout,电子元件,14.29,88.0,0.0,16.67,10.0
20260420,002339,,10.785,10.735,-0.5206,buy,32.19,breakout,电子元件,14.29,88.0,0.0,16.67,10.0
20260421,603328,,13.387,13.243,-1.1206,buy,33.27,breakout,电子元件,17.14,88.0,0.0,16.67,10.0
20260421,603383,,32.416,32.384,-0.15,buy,32.2,breakout,计算机设备,20.0,80.0,0.0,16.67,10.0
20260421,301099,,59.96,56.532,-5.7676,buy,31.13,rally,电子元件,25.71,68.0,0.0,16.67,10.0
20260421,301282,,45.893,45.317,-1.3042,buy,30.05,rally,电子元件,22.86,68.0,0.0,16.67,10.0
20260421,603920,,60.04,59.04,-1.7148,buy,30.03,breakout,电子元件,14.29,80.0,0.0,16.67,10.0
20260422,603039,,45.323,44.748,-1.3188,strong_buy,46.29,breakout,通信设备,42.86,100.0,0.0,16.67,10.0
20260422,600686,,17.259,17.201,-0.3816,strong_buy,40.86,breakout,汽车零部件,28.57,100.0,0.0,16.67,10.0
20260422,002121,,7.684,7.696,0.1102,strong_buy,38.69,breakout,电子元件,22.86,100.0,0.0,16.67,10.0
20260422,002935,,21.681,21.289,-1.8557,strong_buy,35.45,breakout,电子元件,22.86,88.0,0.0,16.67,10.0
20260422,301379,,27.334,26.967,-1.3932,buy,33.3,breakout,电子元件,28.57,72.0,0.0,16.67,10.0
20260423,301123,,67.844,66.087,-2.6397,strong_buy,38.69,breakout,电子元件,22.86,100.0,0.0,16.67,10.0
20260423,300136,,83.452,82.959,-0.641,buy,33.3,rally,通信设备,31.43,68.0,0.0,16.67,10.0
20260424,301560,,41.281,40.98,-0.7795,strong_buy,40.86,breakout,汽车零部件,28.57,100.0,0.0,16.67,10.0
20260424,300184,,13.707,13.593,-0.8791,buy,33.27,breakout,计算机设备,17.14,88.0,0.0,16.67,10.0
20260424,000977,,74.887,74.963,0.0503,buy,28.95,breakout,计算机设备,17.14,72.0,0.0,16.67,10.0
20260424,301379,,26.093,25.267,-3.2144,buy,28.95,breakout,电子元件,17.14,72.0,0.0,16.67,10.0
20260424,600588,,12.376,12.154,-1.8459,buy,27.86,breakout,通信设备,8.57,80.0,0.0,16.67,10.0
20260427,300380,,34.097,34.193,0.2311,buy,33.27,breakout,计算机设备,17.14,88.0,0.0,16.67,10.0
20260427,605258,,38.099,36.342,-4.6622,buy,33.27,breakout,电子元件,17.14,88.0,0.0,16.67,10.0
20260427,300678,,28.834,28.676,-0.6006,buy,32.19,breakout,计算机设备,14.29,88.0,0.0,16.67,10.0
20260427,002935,,21.471,21.389,-0.4293,buy,32.19,breakout,电子元件,14.29,88.0,0.0,16.67,10.0
20260427,300597,,9.505,9.375,-1.4118,buy,32.19,breakout,通信设备,14.29,88.0,0.0,16.67,10.0
20260428,000993,,12.716,12.384,-2.6651,strong_buy,38.69,breakout,计算机设备,22.86,100.0,0.0,16.67,10.0
20260428,300590,,14.737,14.413,-2.2524,buy,26.79,rally,通信设备,14.29,68.0,0.0,16.67,10.0
20260428,002935,,21.751,21.539,-1.023,buy,26.77,breakout,电子元件,5.71,80.0,0.0,16.67,10.0
20260428,600776,,17.149,17.081,-0.4414,buy,26.77,breakout,通信设备,5.71,80.0,0.0,16.67,10.0
20260429,600198,,8.474,8.276,-2.3909,strong_buy,43.03,breakout,通信设备,34.29,100.0,0.0,16.67,10.0
20260429,002935,,22.561,22.319,-1.1246,strong_buy,38.69,breakout,电子元件,22.86,100.0,0.0,16.67,10.0
20260429,300590,,15.068,14.723,-2.339,buy,33.29,rally,通信设备,25.71,76.0,0.0,16.67,10.0
20260429,301121,,39.22,39.09,-0.3793,buy,28.95,breakout,电子元件,17.14,72.0,0.0,16.67,10.0
20260429,002052,,9.505,9.085,-4.4614,buy,26.78,breakout,电子元件,11.43,72.0,0.0,16.67,10.0
20260430,688249,,33.817,33.983,0.4412,strong_buy,40.86,breakout,半导体,28.57,100.0,0.0,16.67,10.0
20260430,000572,,5.593,5.587,-0.15,buy,26.77,breakout,汽车零部件,5.71,80.0,0.0,16.67,10.0
20260430,600756,,16.518,16.512,-0.0894,buy,26.77,breakout,计算机设备,5.71,80.0,0.0,16.67,10.0
20260430,000561,,9.515,9.545,0.2702,buy,26.77,breakout,电子元件,5.71,80.0,0.0,16.67,10.0
20260430,301329,,25.253,25.347,0.325,buy,26.77,breakout,电子元件,5.71,80.0,0.0,16.67,10.0
20260506,688631,,57.309,57.491,0.2686,strong_buy,35.45,breakout,计算机设备,22.86,88.0,0.0,16.67,10.0
20260506,600203,,12.886,12.854,-0.3051,buy,33.3,breakout,电子元件,28.57,72.0,0.0,16.67,10.0
20260506,301189,,86.043,86.347,0.3031,buy,30.03,breakout,电子元件,14.29,80.0,0.0,16.67,10.0
20260506,600699,,29.745,29.885,0.4213,buy,30.03,breakout,电子元件,14.29,80.0,0.0,16.67,10.0
20260506,002119,,22.011,22.029,0.0317,buy,27.86,breakout,电子元件,8.57,80.0,0.0,16.67,10.0
20260507,300533,,27.954,27.916,-0.1857,strong_buy,41.94,breakout,通信设备,31.43,100.0,0.0,16.67,10.0
20260507,300494,,11.416,11.354,-0.5877,strong_buy,41.94,breakout,通信设备,31.43,100.0,0.0,16.67,10.0
20260507,002517,,18.739,18.571,-0.95,strong_buy,41.94,breakout,通信设备,31.43,100.0,0.0,16.67,10.0
20260507,002519,,8.424,8.396,-0.3872,strong_buy,38.7,rally,电子元件,31.43,88.0,0.0,16.67,10.0
20260507,002279,,7.954,8.016,0.7297,strong_buy,38.69,breakout,计算机设备,22.86,100.0,0.0,16.67,10.0
